romaji,kanji,meaning
osoi,遅い,late slow
kariru,借りる,to borrow rent
kusuri,薬,medicine
niwa,庭,garden
gaikoku,外国,foreign country
chiisai,小さい,small little tiny
genki,元気,healthy lively
otouto,弟,little younger brother
kotoshi,今年,this year
sakana,魚,fish
okaasan,お母さん,mother mom
otokonoko,男の子,boy son baby boy
tobu,飛ぶ,to fly soar
uru,売る,to sell
shizuka,静か,quiet silent
yasumu,休む,to rest be absent
tabemono,食べ物,food
taisetsu,大切,important
raishuu,来週,next week
keikan,警官,police officer policeman
tatemono,建物,building
atatakai,暖かい,warm mild
oriru,降りる,to get off come down descend
tomaru,止まる,to stop
isshoni,一緒,together at the same time
senshuu,先週,last week
shiroi,白い,white
ni,二,two 3
sukunai,少ない,little few scarce
akai,赤い,red
arau,洗う,to wash
kirai,嫌い,disliked hated disagreeable
rippa,立派,splendid fine elegant
hima,暇,spare free time
ocha,お茶,tea
hiroi,広い,wide spacious vast
kyonen,去年,last year
tonari,隣,beside side next to
daisuki,大好き,love loveable likeable
onna,女,woman female
kiru,切る,to cut sever
tabun,多分,probably perhaps
maiasa,毎朝,every morning
iya,嫌,disagreeable detestable unpleasant
nimotsu,荷物,baggage luggage package
bangou,番号,number
kaesu,返す,to return restore
rainen,来年,next year
akarui,明るい,bright light well lit
chikai,近い,close near close short
mukou,向こう,over there opposite side
hajime,始め,beginning start outset
itai,痛い,painful sore
yasumi,休み,vacation rest recess
renshuu,練習,practice training drill
juu,十,ten
uwagi,上着,coat tunic jacket
sengetsu,先月,last month
kekkou,結構です,okay splendid nice wonderful
maitoshi,毎年,every year yearly
kyoudai,兄弟,brothers and sisters
raigetsu,来月,next month
go,五,five 5
nomimono,飲み物,drink beverage
yowai,弱い,weak frail delicate
gyuunyuu,牛乳,milk
daijoubu,大丈夫,okay safe secure certainly
kuroi,黒い,black
minasan,皆さん,everyone everybody all
hanbun,半分,half
osu,押す,to push press
tsutomeru,勤める,to work for be emplyed at
atsui,熱い,hot thing
